Pulso_cardiaco,Presion_sistolica,Sudoracion_ml_h,emocion_cluster,emocion_etiqueta
60.0382,119.977501149228,0.2715996619265617,2,5
63.8052,118.604238736102,1.1205881843829648,4,2
61.369,117.525229121032,0.8035552203892414,2,5
61.3605,119.791458470911,1.134140787308703,4,2
60.0461,119.445044135552,0.2659061071438591,2,5
62.8091,119.628136322023,0.8863232119781197,4,2
60.0333,119.328322774389,0.4738421846553801,2,5
61.4446,119.731090997646,0.448325684971513,2,5
60.631,118.877023665319,0.6194935577638893,2,5
62.7496,117.11689650554,1.234702233872814,4,2
60.4839,116.582990705321,0.2036429624459288,2,5
60.5881,119.761017761407,1.109519465374947,4,2
61.398,118.002446500122,0.5769326468720646,2,5
60.4098,118.467099599839,1.1462275395714323,4,2
60.631,118.061439982325,0.7647627468745455,2,5
61.6914,118.268439679439,1.0287036477885554,4,2
63.0933,118.600775454311,0.6096451293539636,2,5
61.4754,119.731500262761,1.4544096486782807,4,2
62.3932,116.01786588584,0.3841479596110441,2,5
63.1523,119.312435903673,0.1820007801224858,2,5
61.4044,119.387681999226,1.16819556617551,4,2
62.2953,119.577125461935,0.5741236334769544,2,5
63.5289,116.863874798308,0.5124427859139775,2,5
60.4839,119.934535492796,0.3363873891538141,2,5
61.2452,119.262628066567,1.0620653723647278,4,2
60.6583,116.729652725284,0.5367575080687645,2,5
60.5066,118.951194041191,0.5984923962208026,2,5
61.4198,115.139849956616,1.4864018251635764,4,2
64.6925,119.23708613427,1.361788847640045,4,2
63.9722,118.298763050149,0.2591902356114966,2,5
60.19,115.436745057822,0.3704065561350621,2,5
60.706,123.804022698852,0.7035135910647587,2,5
61.8746,122.273395570091,1.2396715207421836,4,2
63.0375,124.948344393086,0.5761829382721841,2,5
63.6519,123.040155932117,1.4834616017908615,4,2
61.8881,124.17301770075,0.684402009787552,2,5
60.3748,121.903318167456,1.4494758225625628,4,2
60.0,123.045285717577,1.063557046288863,4,2
63.1523,120.476527483775,1.1819085705471748,4,2
61.0785,122.451630974714,1.2609593964492452,4,2
61.3501,121.335847846828,1.3813426318822717,4,2
63.1322,122.544169793807,1.070575312449029,4,2
60.3091,122.197724280108,1.2460933687020952,4,2
60.6485,124.303066324487,0.4228049352604012,2,5
64.573,121.95130699291,1.074311179376289,4,2
61.5903,123.861236000657,1.045186979321176,4,2
62.0315,122.960295125732,0.2734886745015031,2,5
60.8849,123.808216306977,1.225474742142744,4,2
60.9964,122.802455589688,1.3231965813975757,4,2
60.4974,122.117441734468,0.5135790226897656,2,5
63.3232,121.996985359083,0.4908135912854651,2,5
62.9114,124.852303817067,0.4413008011153576,2,5
60.8036,123.199891481174,0.2736830945043129,2,5
60.0179,120.435552351132,1.1242385662481302,4,2
60.776,124.57279028567,1.3147680567064255,4,2
60.4295,121.845778287401,0.4912945091002437,2,5
61.3585,122.433887484089,0.2353371177615709,2,5
61.25,122.502503152743,1.1805638398264284,4,2
60.6485,122.844940425324,1.3947502927438842,4,2
65.1688,124.24715538141,0.4440928050706745,2,5
68.0319,124.306864245969,1.1602260927217198,4,2
67.8781,120.983156722669,0.8050809331104187,2,5
65.8009,126.66557314338,1.3780707371918803,4,2
65.509,126.014453417865,1.4756279141501645,4,2
65.4113,128.826291331826,0.924534918277515,4,2
65.2773,125.980741721989,0.213848199890387,2,5
69.6291,126.018588558864,0.2074951928090401,2,5
65.1804,129.337788586877,0.4677977628921058,2,5
72.3716,127.434760060411,1.0331387569064443,4,2
73.3045,126.462578502652,0.8668266245003428,4,2
71.5332,126.709209156409,0.5574617230732476,2,5
74.1669,128.940295042466,0.3101498933192039,2,5
76.5512,127.268029909075,0.3292363663395827,2,5
79.7589,126.826915467789,1.2058779284883872,1,0
83.4498,129.632363195556,0.2253296046045825,3,4
83.3333,128.498751292231,1.0293857080131716,1,0
84.614,125.974154411868,1.2153315642786933,1,0
84.2472,128.594336740321,1.0288283478182287,1,0
80.8937,127.794443421407,1.040653780556249,1,0
80.637,126.691361511829,0.6727759101707514,1,0
84.8366,127.79691762077,1.286423641090807,1,0
81.8509,127.512288917319,1.092958838756907,1,0
83.9797,126.616071321554,0.8223061092919862,1,0
83.5546,125.277083575519,0.3814595347776668,3,4
83.2031,128.175594981393,0.5030292171319645,1,0
84.2697,125.993505880979,0.8694101566981175,1,0
83.8154,126.283331384225,0.38923681520226,3,4
82.8729,129.051867032059,0.1465046215723983,3,4
82.7255,126.264076615645,0.3806962385440386,3,4
80.2139,126.547637074277,0.3764154660158998,2,5
84.1361,126.182361920979,0.7279173571458668,1,0
82.342,127.222881378079,0.8510071944248461,1,0
84.4982,125.650108669199,0.9745902972177066,1,0
80.4571,132.269890500543,1.4385409421736677,1,0
81.9672,133.547400778472,1.3821691534664369,1,0
83.9797,132.379674321471,1.4676381298502263,1,0
83.5912,132.313034754788,0.2153893276503462,3,4
83.9893,132.778221583707,1.172246516578715,1,0
81.3063,132.204652332345,0.3994759775817063,2,5
81.0811,133.619004741489,1.2991196002601408,1,0
82.674,131.417505140965,0.1080033801893339,3,4
84.2472,133.72632998522,1.1193388840989575,1,0
84.599,133.449695351505,0.7900681321316281,1,0
89.7773,130.500022610661,1.017659896293826,1,0
89.2773,132.423727274341,0.2633040511406282,3,4
89.8032,131.511329195712,0.4884039386467453,1,0
86.2799,132.539412158097,0.2040957909082398,3,4
87.9644,131.490650677108,0.534803061769743,1,0
87.6077,131.847053950325,0.951276039038032,1,0
88.9286,131.183671855971,1.1982102166753137,1,0
89.2497,130.44588893915,0.6904386863443621,1,0
87.4725,131.631682982566,1.35702799341408,1,0
88.281,132.847224769546,1.2655802983401845,1,0
